Title,Category,Directions
Banana Cake,Cakes,Bake in three layer pans at 350 degrees.
Blueberry Coffee Cake,Cakes,"Mix butter, 1 cup sugar, flour, 2 eggs, 2 tsp vanilla, baking powder, and milk to make cake batter. Blend easily.  Add 3 cups of blueberries.  Put 2 1/2 cups of batter in pan.

Mix cream cheese, 1/2 cup sugar, 1 egg, lemon juice and 1 tsp vanilla to make filling.  Put filling on top of batter.  Top with remaining batter.

Make streusel topping from flour, butter, brown sugar, ad cinnamon.  Sprinkle on top of cake.

Bake at 375 degrees for 1 hour and 5 minutes.  Check after 50 minutes."
Chocolate Cake,Cakes,Mix all ingredients together.  Pour in 1 cup boiling water.  Mix well.  Bake about 35 minutes at 375 degrees.
Chocolate Mayonaise Cake,Cakes,Makes  2 layer cake.
Crazy Cake,Cakes,"Mix first 5 ingredients well, about 4 minutes.  Bake at 350 degrees in a 9x13 pan for 35 minutes. Poke holes in warm cake and pour on mixture of powdered sugar and lemon juice."
Fresh Apple Cake,Cakes,"Mix apples and sugar well.  Add oil, nuts, and eggs.  Add vanilla and dry ingredients.  Bake at 350 degrees for 40-45 minutes.  Serve with whipped cream or top with cream cheese frosting."
Fresh Pear Cake,Cakes,"Butter and flour a 9 inch round pan.  Peel and slice pears.  Blend eggs, sugar, milk, and salt.  Add flour, mix well.  Fold 1/2 of pears into batter.  Pour into pan, fan remaining pears on top.  Dot with butter.  Bake at 350 degrees about 55 minutes.  Sprinkle with powdered sugar."
Graham Cracker Cake,Cakes,"Cream butter and sugar.  Add crushed crackers, sour milk, and soda.  Stir in nuts.  Bake in 10 inch square baking pan.  Bake in 350 degree oven for 30-35 minutes.  Serve with whipped cream or thin powdered sugar icing."
Hot Water Chocolate Cake,Cakes,Mix all ingredients together.  Pour in 1 cup boiling water. Mix well.  Bake about 35 minutes at 375 degrees.
Hungry Bear Cheese Cake,Cakes,"Combine first 5 ingredients to make crust.  Save 1/4 cup for top.  Press remaining crumbs evenly over bottom and about 2 inches up sides of a 9 inch spring form pan.  Prepare filling:  beat cream cheese and cottage cheese until smooth.  Add eggs, one at a time, bating well. Blend in lemon juice and vanilla.  Mix sugar, flour and salt.  Add to cheese mixture.  Pour into crust.  Bake at 350 degrees until set, about 35 to 40 minutes.  Combine topping ingredients (sour cream, sugar, vanilla, and salt).  Spread evenly over hot cheese cake.  Return to oven until cream sets, about 5 minutes.  Cool in pan on rack.  Sprinkle reserved crumbs around edge of cake."
Lemon Poppy Cake,Cakes,Mix all for 4 minutes.  Bake at 350 degrees for 40 minutes.
Light Old Fashioned Fruit Cake,Cakes,"Sift dry ingredients into a 4 quart bowl.  Add fruit and nuts.  Mix until well coated.  Set aside.  Cream butter, gradually add sugar and cream until fluffy.  Add eggs one at a time, beating well after each.  Add brandy.  Combine with fruit mixture.  Mix well.  Turn into a 10 inch tube pan or four 1# coffee cans lined with foil, filling pans 2/3 full. Bake in slow oven, 275 degrees for 2 3/4 to 3 hours.  About 1/2 hour before done brush lightly with honey or light corn syrup.  Cool completely then wrap tightly in foil to store for several weeks.  Brush with brandy about once a week."
My Best Gingerbread,Cakes,Bake in greased pan for 35 minutes at 325-350 degrees.
Oatmeal Cake,Cakes,"Pour the water over the oatmeal.  Let stand for 20 minutes.  Add remaining cake ingredients.  Mix well and pour into a greased 9""x12"" pan.  Let stand while mixing topping.  To prepare topping:  Mix all ingredients together over low heat, until butter melts.  Spoon over unbaked cake.  Bake 45 minutes at 350 degrees."
Orange Angel Food Cake,Cakes,"Prepare angel food cake as directed on package, but pour 1/3 cup of the thawed orange juice into a 2 cup measure and add enough water for the mixture to equal the amount of water called for in package directions.  Continue to prepare cake as directed, baking the batter in an ungreased 10 inch tube pan.  Immediately invert the cake, leaving in pan.  Cool completely.  Loosen sides of cake from pan; remove cake.  To make the topping, in a medium bowl, gently stir together the thawed topping and yogurt.  Fold in remaining orange juice concentrate.  Spread topping mixture over top ad sides of cake."
Orange-Poppy Seed Pound Cake,Cakes,"Preheat oven to 325 degrees.  Grease and flour a 9x5x3 inch loaf pan; tap out excess flour.  In large bowl beat together softened butter, sugar, vanilla, and orange peel until pale and fluffy.  Beat in flour, then remaining ingredients, except the glaze (powdered sugar and 2 1/2 tsp. orange juice).  Mix until well blended.  Spread in prepared pan.  With handle of a wooden spoon, make 1/2 inch deep score down center length of batter.  Bake 50-60 minutes, until wooden pick inserted in center comes out clean.  Cool in pan on rack 30 minutes; invert onto rack; remove pan.  Cool completely.  To prepare glaze seal powdered sugar and orange juice in small zipper-style bag.  Gently massage mixture with fingers until blended and smooth.  Snip off corner of bag.  Drizzle glaze over cake.  Let stand 1 hour or until glaze is set."
Pineapple Cake,Cakes,Spread pineapple in baking dish.  Sprinkle cake mix on this.  Dice butter on top. Sprinkle with almonds.  Bake at 350 degrees for 30 minutes.
Pineapple-Carrot Cake*,Cakes,"Mix all cake ingredients.  Bake in greased and floured 9""x13"" pan at 350 degrees for 35 minutes.  Frost when cool."
Potatoe Cake,Cakes,"Mix in order given.   Bake at 350 degrees for 25 minutes in two, 9"" pans."
Pumpkin Swirl Cheesecake,Cakes,"CRUST:  Combine crumbs and melted margarine, press into bottom and sides of 9 inch form pan.

FILLING:  Combine cheese, 1/2 cup sugar and vanilla.  Mix at medium speed until well blended.  Add eggs, one at a time.  Reserve 1 cup of this mixture, then add pumpkin, remaining sugar and spices to remaining cheese mixture.  Mix well.  Layer half of pumpkin mixture an half of cheese mixture over crust.  Repeat layers.  Cut through bater with knife several times to marble.  Bake at 350 degrees for 55 minutes.  Loosen from rim of pan.  Cool before removing.  Chill."
Refrigerator Cheesecake,Cakes,"Crush flakes, mix with butter and sugar.  Press 3/4 of mixture into spring for pan.  Chill.  Soften gelatin in water.  Beat egg yolks slightly; stir in salt, sugar and milk.  Cook over hot water or very low heat.  Stir constantly until it thickens.  Remove from heat.  Stir in softened gelatin.  Cool.  Beat cheese until creamy.  Combine with lemon rind and juice.  Add to gelatin mixture, mixing well.  Whip cream until stiff.  Beat egg whites until stiff but not dry.  Fold cheese mixture to whipped cream.  Spread in pan over crumb mixture.  Sprinkle remaining crumbs on top.  Chill until firm."
Sherry Wine Cake,Cakes,Beat for 5 minutes.  Bake for 45 minutes at 350 degrees in angel food pan that has been greased and floured.  Turn to 300 degrees after 20 minutes.
Special Prune Cake*,Cakes,"Blend sugar and oil.  Add beaten eggs.  Add dry ingredients with buttermilk.  Add vanilla, prunes, and nuts.  Pour into buttered pan about 12""x8"" in size.  Bake at 300 degrees for 45 minutes.  When cake is done and brown remove from oven and while still hot cover with icing.  

Icing Directions:  Put all ingredients in medium saucepan and boil to soft ball stage.  This will take 15 or 20 minutes, so start this before cake is to come out of the oven so icing may be poured on to cake immediately.  Leave in pan, cut in squares to serve."
